76,6,-15,1,9.9,256,"house",5,0,0,5,9.28821292775665,0,0.296577946768061,0.296577946768061,3,1,9.60900002717972,0,115,6,5,6,2,2
40,7,10,1,9.9,238,"house",3,1,1,1,0.48,0,0,0,3.46206554208235,1.66666666666667,7,0,5,1,3,2,3,4
50,-6,10,1,9.9,79,"house",4,0,2,2,11.91,2,3,2,1.86976976995556,2,41.2949995994568,41.2949995994568,30,5,3,1,1,3
92,-10,-4,1,9.9,250,"house",4,3,0,1,1.78,0,1,0,2.22258847655385,2.5,7,0,42,8,3,4,2,6
63,5,-1,1,9.9,238,"house",7,5,0,2,0,0,0,0,3.89696165081472,3,10,10,28,1,6,10,2,2
1,13,-3,1,9.9,6,"house",4,1,1,2,1.85,0,0,1,0.578980554686239,2,5,3,121,3,2,2,5,0
37,-9,14,1,9.9,145,"house",7,5,0,2,4.54,0,1,0,0.560765903597861,1,0,0,46,7,5,4,4,1
39,-13,-3,1,9.9,253,"house",6,4,0,2,2.2,0,1,0,0.339028314844444,2,8.75999987125396,0,82,5,4,5,5,5
21,9,2,1,9.9,26,"house",10,7,1,2,6.82,2,1,0,2.39002579397993,1,28,0,44,5,6,5,7,8
87,-10,-2,1,9.9,163,"house",5,3,0,2,5.47376425855513,0,1.88593155893536,1.88593155893536,1.5,1,9.32800006866456,4.32800006866456,10,10,2,8,4,0
53,15,3,1,9.9,195,"house",2,0,0,2,6.04,2,1.5,1.5,1.17344487363951,2.5,10,0,6,3,0,4,5,1
46,2,-1,1,9.9,24,"house",7,5,0,2,2.1,0,0,0,0.196683673942857,1,5,0,62,4,7,4,4,4
84,0,1,1,9.9,264,"house",3,1,0,2,0.985,0,0.5,0,0.706418660954011,3.5,10,0,26.6666666666667,4,5,1,3,4
89,-2,-5,1,9.9,90,"house",6,4,0,2,2.55,0,0,0,2.65168539325843,1,0,0,48,4,5,6,3,7
